ID,Vulnerability description,Vulnerability location,Location-subtype,Vulnerability type,Type-subtype,Risk,Time,Attack surface,Country/region,EPA size,SAE level,Power type,APP class,Vehicle ID,Participant ID,Skill1,Skill2,Skill3,Skill4,Privacy data breach,Control hijacking,Ransomware,System damage,Unauthroized unlocking,Driving accident
309,Permission licensing and access control vulnerability in XX Company's T-BOX product,In-vehicle,T-Box,Authorization,Unauthorized accessing,Critical,2023-9-13,Short-range,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,2,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
310,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File accessing,Low,2023-9-12,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
311,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File accessing,Low,2023-9-12,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
312,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File accessing,Low,2023-9-12,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
313,Arbitrary file download in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File download,Low,2023-9-12,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
314,Arbitrary file download in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File download,Low,2023-9-12,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
315,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-9-11,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
316,Unauthorized command execution in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Medium,2023-9-6,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,14,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
317,Unauthorized command execution in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Low,2023-9-6,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,14,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
318,Unauthorized command execution in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Low,2023-9-6,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,14,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
319,Infotainment system crash vulnerability in XX Company's XX model,In-vehicle,IVI,Memory,Buffer overflow,Low,2023-8-29,Short-range,German,Sedan,L2,Electric,-,Competition-2-Vehicle-2,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
320,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-8-28,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
321,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-8-28,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
322,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-8-28,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
323,Arbitrary file download in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-8-25,Remote,Japan,SUV,L2,Electric,-,Competition-4-Vehicle-1,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
324,Arbitrary file download in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-8-25,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
325,User information leakage vulnerability in XX Company's APP,Outside-vehicle,APP,Information leakage,Information leakage,High,2023-8-25,Remote,German,Sedan,L2,Electric, APP-internal,Competition-2-Vehicle-2,4,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
326,Unauthorized command execution in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Medium,2023-8-23,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
327,Logic vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-8-22,Remote,France,SUV,L2,Electric,-,Competition-4-Vehicle-2,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
328,Non-secure algorithm used for secure access in XX Company's XX model,In-vehicle,ECU,Information leakage,Information leakage,Low,2023-8-14,Short-range,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,2,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
329,Bluetooth key fuzzing power supply in XX Company's XX model,In-vehicle,ECU,DoS,DoS,Low,2023-8-14,Short-range,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,2,Fuzzing,-,-,-,-,-,-,TRUE,-,-
330,Bluetooth protocol downgrade relay key control vulnerability in XX Company's XX model,In-vehicle,ECU,Interception,Relay,Low,2023-8-14,Short-range,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,2,Vulnerability reproduction,-,-,-,-,-,-,-,TRUE,-
331,System login bypass vulnerability in XX Company's vehicles,In-vehicle,ECU,Injection,Command injection,Low,2023-8-11,Short-range,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
332,Unauthorized access in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-8-11,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
333,Deserialization vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,Deserialization,Low,2023-8-11,Remote,German,Sedan,L2,Petrol,-,Competition-4-Vehicle-3,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
334,Login bypass in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Low,2023-8-11,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
335,Login bypass in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Medium,2023-8-11,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
336,Login bypass in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Low,2023-8-11,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
337,Login bypass in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Medium,2023-8-11,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
338,Known CVE vulnerabilities in the Bluetooth of XX Company's XX model,In-vehicle,ECU,OS,Arbitrary software installation,Low,2023-8-10,Short-range,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,1,Vulnerability reproduction,-,-,-,-,-,-,-,-,TRUE
339,CAN signal replay vulnerability in the bus of XX Company's XX model,Network,Network,Interception,replay,Low,2023-8-8,Short-range,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,1,Fuzzing,-,-,-,-,-,-,TRUE,-,-
340,The Wifi of XX Company's XX model is vulnerable to DDoS attacks,Network,Network,DoS,DoS,Low,2023-8-8,Short-range,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,1,Fuzzing,-,-,-,-,-,-,TRUE,-,-
341,Remote control commands in XX Company's APP can be replayed and tampered with,Outside-vehicle,APP,Interception,replay,High,2023-8-8,Remote,China,SUV,L3,Electric,APP-to-vehicle,Competition-4-Vehicle-4,1,Traffic analysis,-,-,-,TRUE,TRUE,-,-,-,-
342,Unencrypted transmission of vehicle control commands in XX Company's APP,Outside-vehicle,APP,Information leakage,Information leakage,Low,2023-8-8,Remote,China,SUV,L3,Electric,APP-to-vehicle,Competition-4-Vehicle-4,1,Traffic analysis,-,-,Traffic analysis,TRUE,-,-,-,-,-
343,Unauthorized access in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Medium,2023-8-1,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
344,Unauthorized access vulnerability in XX Company's APP,Outside-vehicle,APP,Injection,Command injection,Low,2023-8-1,Remote,German,Sedan,L2,Petrol, APP-internal,Competition-4-Vehicle-3,2,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
345,Vulnerability in the built-in navigation system of XX Company's XX model,Network,Network,Authorization,Weak password,Low,2023-7-27,Short-range,Japan,SUV,L2,Electric,-,Competition-4-Vehicle-1,2,Brute force,-,-,-,TRUE,TRUE,-,-,-,-
346,Default weak password vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-7-25,Remote,Japan,SUV,L2,Electric,-,Competition-4-Vehicle-1,2,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
347,Vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-7-14,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
348,Unauthorized user addition in XX Company's cloud platform leading to leakage of sensitive information,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-7-14,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
349,Vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Medium,2023-7-14,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
350,XX Company's TBOX can obtain any file via adb pull,In-vehicle,T-Box,Authorization,Unauthorized accessing,Low,2023-7-14,Short-range,China,SUV,L2,Electric,-,Competition-4-Vehicle-5,1,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
351,Default WiFi ADB enabled with ROOT privileges in the IVI of XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2023-7-14,Short-range,China,SUV,L2,Electric,-,Competition-4-Vehicle-5,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
352,Arbitrary user login in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-7-14,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
353,Arbitrary user login in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-7-14,Remote,China,-,-,-,-,Competition-4-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
354,Arbitrary file download in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File download,Low,2023-7-14,Remote,Japan,Sedan,L2,Electric,-,Competition-2-Vehicle-1,4,Penetration testing,-,-,-,TRUE,-,-,-,-,-
355,Weak password vulnerability in engineering mode of the IVI in XX Company's XX model,In-vehicle,IVI,Authorization,Weak password,High,2023-7-4,Short-range,China,SUV,L2,Petrol,-,Competition-2-Vehicle-5,4,Brute force,-,-,-,TRUE,TRUE,-,-,-,-
356,Hardcoded adb password vulnerability in the IVI of XX Company's XX model,In-vehicle,IVI,Information leakage,Information leakage,High,2023-7-4,Short-range,China,SUV,L2,Petrol,-,Competition-2-Vehicle-5,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
357,Information leakage vulnerability (CVE-2021-0653) in the infotainment system of XX Company's XX model,In-vehicle,IVI,OS,Arbitrary software installation,Medium,2023-7-4,Short-range,German,Sedan,L2,Electric,-,Competition-2-Vehicle-2,4,Vulnerability reproduction,-,-,-,TRUE,TRUE,-,-,-,-
358,Weak passwords in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-6-30,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
359,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-6-30,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
360,XXE vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XXE,Low,2023-6-30,Remote,China,Sedan,L2,Hybird,-,Daily,-,Penetration testing,-,-,-,TRUE,-,-,-,-,-
361,Remote vehicle control vulnerability in XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Low,2023-6-30,Remote,China,Sedan,L2,Electric,-,Daily,-,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
362,NFC relay control vulnerability in XX Company's XX model,In-vehicle,ECU,Interception,Relay,Medium,2023-6-30,Short-range,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,2,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
363,File upload vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File upload,Medium,2023-6-28,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
364,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,High,2023-6-28,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
365,Unauthorized access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,Command injection,Low,2023-6-28,Remote,China,SUV,L2,Electric,-,Daily,-,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
366,Login bypass in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-6-28,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
367,Hardcoding in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Medium,2023-6-28,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
368,FTP vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-6-28,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Port scanning,Brute force,-,-,TRUE,-,TRUE,-,-,-
369,TELNET vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Medium,2023-6-28,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Port scanning,Brute force,-,-,TRUE,-,TRUE,-,-,-
370,Hardcoded SSH login credentials in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Medium,2023-6-28,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
371,Weak password vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-6-28,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
372,Unauthorized access to numerous interfaces in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-6-28,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
373,Information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Medium,2023-6-28,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
374,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-6-27,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
375,Plaintext storage of WiFi passwords in XX Company's XX model,Network,Network,Information leakage,Information leakage,Low,2023-6-26,Short-range,China,SUV,L1,Petrol,-,Competition-3-Vehicle-4,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
376,Sensitive information leakage in XX Company's APP,Outside-vehicle,APP,Injection,Command injection,Low,2023-6-26,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,3,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
377,WiFi deauthentication attack vulnerability in XX Company's XX model,In-vehicle,IVI,DoS,DoS,Low,2023-6-26,Short-range,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,3,Fuzzing,-,-,-,-,-,-,TRUE,-,-
378,Dirty COW Linux local privilege escalation vulnerability in XX Company's XX model,In-vehicle,IVI,Authorization,Privilege escalation,Medium,2023-6-26,Short-range,China,SUV,L1,Petrol,-,Competition-3-Vehicle-4,3,Vulnerability reproduction,-,-,-,TRUE,TRUE,-,-,-,-
379,Plaintext data transmission in XX Company's APP,Outside-vehicle,APP,Information leakage,Information leakage,Low,2023-6-26,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,3,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
380,Injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-6-26,Remote,Korea,Sedan,L2,Petrol,-,Competition-3-Vehicle-1,3,Penetration testing,-,-,-,TRUE,-,-,-,-,-
381,File upload vulnerability via interface in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File upload,Medium,2023-6-26,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,3,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
382,Unauthorized access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-6-26,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,3,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
383,Kernel vulnerability causing system crashes in XX Company's XX model,In-vehicle,IVI,DoS,DoS,Low,2023-6-26,Short-range,China,SUV,L1,Petrol,-,Competition-3-Vehicle-4,3,Vulnerability reproduction,-,-,-,-,-,-,TRUE,-,-
384,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-6-26,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,3,Penetration testing,-,-,-,TRUE,-,-,-,-,-
385,Unauthorized access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-6-26,Remote,Japan,SUV,L2,Electric,-,Competition-3-Vehicle-2,3,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
386,SQL injection in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-6-26,Remote,China,MPV,L2,Petrol,-,Competition-1-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
387,Unauthorized ADB opening vulnerability in XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Low,2023-6-26,Short-range,China,SUV,L1,Petrol,-,Competition-3-Vehicle-4,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
388,Weak password vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Medium,2023-6-26,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,3,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
389,Weak passwords in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-6-26,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,3,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
390,Weak passwords in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-6-26,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,3,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
391,Weak password vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Medium,2023-6-26,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,3,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
392,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-6-26,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,3,Penetration testing,-,-,-,TRUE,-,-,-,-,-
393,Weak password vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Medium,2023-6-25,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,1,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
394,Unauthorized download vulnerability in XX Company's APP,Outside-vehicle,APP,Injection,Command injection,Low,2023-6-25,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
395,Man-in-the-middle attack vulnerability in XX Company's APP,Outside-vehicle,APP,Interception,Man-in-the-middle,Medium,2023-6-25,Mid-range,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,1,Unpacking,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
396,Replay attack vulnerability in XX Company's APP,Outside-vehicle,APP,Interception,replay,Low,2023-6-25,Mid-range,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,1,Traffic analysis,-,-,-,TRUE,TRUE,-,-,-,-
397,Brute-force vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-6-25,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,1,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
398,Source code leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-6-25,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
399,Sensitive information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-6-25,Remote,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
400,SQL injection vulnerability in the login interface of XX Company's APP,Outside-vehicle,APP,Injection,SQL injection,Low,2023-6-25,Remote,China,-,-,-, APP-internal,Competition-3-Vehicle-4-5-6,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
401,Logical concurrency vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-6-25,Remote,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
402,Unauthorized access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-6-25,Remote,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
403,XX Company's cloud platform leaks a large amount of interface information,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-6-25,Remote,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
404,Sensitive information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-6-25,Remote,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
405,Brute-force vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2023-6-25,Remote,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,1,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
406,Deserialization vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,Deserialization,Low,2023-6-25,Remote,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
407,Command execution vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,Deserialization,Medium,2023-6-21,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
408,Weak passwords in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Medium,2023-6-21,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
409,SQL injection vulnerability in XX Company,Outside-vehicle,Charging pile,Injection,SQL injection,Low,2023-6-21,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
410,SQL injection vulnerability in XX Company,Outside-vehicle,Charging pile,Injection,SQL injection,Medium,2023-6-21,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
411,Information leakage via a certain redirection in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-6-21,Remote,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
412,Data leakage vulnerability in XX Charging Pile Company,Outside-vehicle,Charging pile,Information leakage,Information leakage,Low,2023-6-21,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
413,Data leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-6-21,Remote,China,-,-,-,-,Competition-3-Vehicle-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
414,Vulnerability allowing ordinary shell access in XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Low,2023-6-19,Short-range,China,Sedan,L2,Electric,-,Daily,-,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
415,Vulnerability allowing access to diagnostic information in XX Company's XX model,In-vehicle,IVI,Information leakage,Information leakage,Low,2023-6-19,Short-range,China,Sedan,L2,Electric,-,Daily,-,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
416,Remote GPS location information leakage in XX Company's XX model,In-vehicle,ECU,Interception,GPS spoofing,Low,2023-6-19,Short-range,China,Sedan,L2,Electric,-,Daily,-,Firmware extraction,Reverse engineering,Code audit,-,-,-,-,TRUE,-,TRUE
